"A Mail was sent to %s","A Mail was sent to %s"
"Unable to send test : %s","Unable to send test : %s"
"Unable to send test : no shipment was found","Unable to send test : no shipment was found"
"Rating Request","Rating Request"
"Automatic Send Options","Automatic Send Options"
"Enable","Enable"
"Yes","Yes"
"No","No"
"Days","Days"
"Number of days after shipment for sending e-mail","Number of days after shipment for sending e-mail"
"Line Template","Line Template"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Test Email","Test Email"
"Send to","Send to"
"Send a test mail","Send a test mail"
"Send","Send"
"Send Email Copy To","Send Email Copy To"
"Comma-separated","Comma-separated"
"%s Request(s) was/were sent","%s Request(s) was/were sent"
"Cron must be configured on your server","Cron must be configured on your server"
"Send Rating Request","Send Rating Request"
